State,Unemployment Rate,Average Household Income,Highschool Graduation Rate,Postsecondary Education Population,Average Population,Postsecondary Education Rate
Alabama,2.50%,"$59,703",88.20%,"376,660","5,025,369",7.50%
Alaska,4.20%,"$88,072",77.80%,"34,125","733,395",4.65%
Arizona,3.80%,"$74,355",77.30%,"907,457","7,158,110",12.68%
Arkansas,3.20%,"$55,505",88.20%,"194,632","3,011,553",6.46%
California,4.30%,"$91,517",87.00%,"3,452,956","39,555,674",8.73%
Colorado,3.10%,"$89,096",82.30%,"485,861","5,775,324",8.41%
Connecticut,4.10%,"$88,182",88.90%,"251,482","3,607,701",6.97%
Delaware,4.30%,"$81,933",87.80%,"70,927","989,955",7.16%
District of Columbia,4.70%,"$99,897",76.40%,"117,889","689,545",17.10%
Florida,3.00%,"$69,287",87.30%,"1,440,369","21,538,192",6.69%
Georgia,3.10%,"$72,742",84.10%,"686,157","10,713,755",6.40%
Hawaii,3.30%,"$93,683",86.00%,"78,913","1,455,252",5.42%
Idaho,2.80%,"$72,634",79.90%,"181,254","1,839,140",9.86%
Illinois,4.60%,"$76,744",87.30%,"956,602","12,821,814",7.46%
Indiana,3.10%,"$66,768",87.70%,"590,582","6,786,587",8.70%
Iowa,2.80%,"$69,708",89.90%,"260,538","3,190,546",8.17%
Kansas,2.60%,"$68,827",89.10%,"251,538","2,937,745",8.56%
Kentucky,4.00%,"$59,246",90.10%,"325,877","4,506,302",7.23%
Louisiana,3.70%,"$55,458",83.10%,"304,565","4,657,874",6.54%
Maine,2.80%,"$69,485",86.10%,"91,706","1,363,196",6.73%
Maryland,3.00%,"$94,957",86.30%,"443,271","6,181,629",7.17%
Massachusetts,3.70%,"$94,538",90.10%,"594,600","7,033,132",8.45%
Michigan,4.10%,"$66,926",81.00%,"612,106","10,079,338",6.07%
Minnesota,2.60%,"$82,343",83.60%,"516,521","5,706,692",9.05%
Mississippi,3.80%,"$52,788",88.90%,"201,753","2,961,278",6.81%
Missouri,2.60%,"$64,783",89.80%,"422,530","6,154,854",6.86%
Montana,2.70%,"$67,915",85.80%,"58,988","1,084,216",5.44%
Nebraska,2.20%,"$69,828",87.10%,"174,428","1,961,996",8.89%
Nevada,5.20%,"$72,348",81.70%,"150,425","3,105,595",4.84%
New Hampshire,2.30%,"$90,750",87.70%,"294,706","1,377,546",21.39%
New Jersey,3.90%,"$96,341",85.20%,"510,435","9,289,014",5.50%
New Mexico,4.10%,"$59,842",---,"143,281","2,117,555",6.77%
New York,4.30%,"$79,463",86.70%,"1,454,431","20,203,772",7.20%
North Carolina,3.70%,"$67,516",86.40%,"692,648","10,441,499",6.63%
North Dakota,2.00%,"$73,240",85.10%,"62,912","779,046",8.08%
Ohio,4.00%,"$65,786",86.20%,"854,231","11,799,453",7.24%
Oklahoma,3.10%,"$59,632",---,"257,763","3,959,405",6.51%
Oregon,3.90%,"$75,638",81.30%,"283,728","4,237,224",6.70%
Pennsylvania,4.10%,"$71,789",87.00%,"803,708","13,002,909",6.18%
Rhode Island,3.20%,"$80,873",83.30%,"90,887","1,097,354",8.28%
South Carolina,3.20%,"$64,227",83.80%,"296,780","5,118,252",5.80%
South Dakota,2.00%,"$70,597",82.10%,"67,252","886,729",7.58%
Tennessee,3.40%,"$65,231",90.40%,"407,243","6,912,347",5.89%
Texas,3.90%,"$72,279",89.70%,"2,084,096","29,149,458",7.15%
Utah,2.40%,"$88,531",88.20%,"544,709","3,271,608",16.65%
Vermont,2.30%,"$74,555",82.80%,"55,305","643,082",8.60%
Virginia,2.80%,"$85,838",89.10%,"695,570","8,631,388",8.06%
Washington,4.10%,"$91,255",83.60%,"433,838","7,707,586",5.63%
West Virginia,3.90%,"$54,097",91.20%,"198,369","1,793,736",11.06%
Wisconsin,2.90%,"$71,050",90.30%,"403,971","5,894,170",6.85%
