National Center for Education Statistics
Number of students enrolled in postsecondary institutions annually by state

Year,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida
2023-24,"7,665,750","390,617","39,087","967,947","196,883","3,644,601","503,403","274,785","73,310","118,847","1,456,270"
2022-23,"7,362,636","381,180","38,187","929,673","195,600","3,464,000","488,245","254,238","71,545","118,864","1,421,104"
2021-22,"7,332,358","376,660","34,125","907,457","194,632","3,452,956","485,861","251,482","70,927","117,889","1,440,369"
2020-21,"7,486,090","375,801","35,858","903,262","188,672","3,574,394","489,218","254,187","77,317","115,364","1,472,017"
2019-20,"7,718,278","386,560","38,825","914,287","198,988","3,711,960","517,784","260,162","77,411","118,241","1,494,060"
2018-19,"7,741,691","393,813","42,020","882,235","203,542","3,751,936","506,527","260,917","76,119","117,717","1,506,865"
2017-18,"7,686,882","388,078","44,871","853,834","207,434","3,727,425","499,270","259,589","75,185","115,421","1,515,775"
2016-17,"7,735,910","395,227","46,469","881,511","211,649","3,712,781","503,069","265,250","77,072","112,551","1,530,331"
2015-16,"7,772,076","393,837","49,956","919,541","214,807","3,697,324","500,426","269,832","77,287","112,770","1,536,296"
2014-15,"7,888,108","397,074","56,017","996,090","219,516","3,670,050","505,367","273,720","78,656","108,492","1,583,126"
2013-14,"8,011,738","404,178","55,691","1,026,351","224,149","3,699,996","515,640","275,955","76,399","111,171","1,622,208"
2012-13,"8,002,318","411,484","56,900","1,093,714","230,832","3,559,438","521,207","279,228","76,836","109,723","1,662,956"
2011-12,"8,331,206","425,830","61,426","1,182,603","238,179","3,711,379","543,181","279,831","75,012","108,030","1,705,735"
2010-11,"8,592,162","433,128","59,899","1,261,725","235,641","3,905,457","539,127","278,341","74,368","115,565","1,688,911"
2009-10,"8,508,381","422,232","58,796","1,225,962","228,930","3,977,290","520,118","270,708","72,475","115,417","1,616,453"
2008-09,"8,206,011","400,252","54,322","1,094,710","214,260","3,993,124","467,184","256,017","69,444","172,703","1,483,995"
2007-09,"7,683,886","371,246","54,722","1,037,613","203,279","3,690,726","461,450","245,752","67,698","159,789","1,391,611"
2006-07,"7,270,820","342,668","53,577","886,219","197,516","3,539,767","453,213","241,048","65,762","145,790","1,345,260"
2005-06,"7,180,332","339,525","57,783","889,715","193,395","3,473,573","463,672","238,278","65,500","139,143","1,319,748"
2004-05,"7,078,169","352,322","55,260","834,890","187,018","3,447,244","451,154","233,774","65,144","132,339","1,319,024"
2003-04,"6,987,338","336,088","58,370","797,081","181,619","3,460,921","441,444","229,209","63,206","130,282","1,289,118"
2002-03,"7,036,467","332,325","58,173","682,985","186,802","3,705,782","424,935","229,273","63,917","120,317","1,231,958"
2001-02,"6,849,468","319,831","54,652","627,711","178,098","3,663,883","415,558","224,898","62,286","115,015","1,187,536"

"This table presents data collected from Title IV institutions in the United States. Prior to 2009-10, the data include only Title IV primarily postsecondary institutions."
"This is the unduplicated 12-month enrollment  at institutions from July 1 of one year through June 30 of the next. Prior to 2010-11, institutions could choose to report on the 12-month period between July 1 and June 30 or September 1 and August 31."
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), 12-month Enrollment component final data (2001-02 - 2022-23) and provisional data (2023-24)."
