National Center for Education Statistics
"Number of students enrolled in postsecondary institutions annually, by state and  sector of institution: 2023-24"

Year,State,Total,Administrative unit only,"Public, 4-year or above","Private not-for-profit, 4-year or above","Private for-profit, 4-year or above","Public, 2-year","Private not-for-profit, 2-year","Private for-profit, 2-year","Public, less-than 2-year","Private not-for-profit, less-than 2-year","Private for-profit, less-than 2-year"
2023-24,Total,"25,670,468",N/A,"11,822,193","5,100,364","1,349,975","6,502,611","73,704","337,184","97,131","12,714","374,592"
2023-24,Alabama,"390,617",N/A,"208,046","26,774","30,988","121,049",358,825,N/A,16,"2,561"
2023-24,Alaska,"39,087",N/A,"32,750",844,"3,980",N/A,77,366,"1,070",N/A,N/A
2023-24,Arizona,"967,947",N/A,"442,723","11,884","374,909","99,731",737,"24,048","1,289",267,"12,359"
2023-24,Arkansas,"196,883",N/A,"116,255","17,125",N/A,"58,706","1,435",N/A,294,N/A,"3,068"
2023-24,California,"3,644,601",N/A,"1,324,387","366,436","160,842","1,659,895","1,402","61,271","3,423","3,253","63,692"
2023-24,Colorado,"503,403",N/A,"347,281","44,727","60,340","17,007",N/A,"23,350","7,118",328,"3,252"
2023-24,Connecticut,"274,785",N/A,"87,865","89,777","33,703","51,345",N/A,841,N/A,N/A,"11,254"
2023-24,Delaware,"73,310",N/A,"49,928","20,870",N/A,N/A,N/A,N/A,960,44,"1,508"
2023-24,District of Columbia,"118,847",N/A,"5,134","91,980","20,490",N/A,31,761,N/A,N/A,451
2023-24,Florida,"1,456,270",N/A,"988,329","242,907","73,762","35,037","36,611","22,325","18,417",36,"38,846"
2023-24,Georgia,"715,195",N/A,"398,700","98,965","28,956","169,041","2,337","7,053",N/A,N/A,"10,143"
2023-24,Hawaii,"79,746",N/A,"32,756","13,166",86,"32,906",N/A,671,N/A,N/A,161
2023-24,Idaho,"189,363",N/A,"83,341","70,020","1,725","30,928",N/A,818,N/A,N/A,"2,531"
2023-24,Illinois,"1,003,916",N/A,"206,275","238,465","95,457","435,426",827,"10,317",470,N/A,"16,679"
2023-24,Indiana,"637,542",N/A,"331,784","113,189","1,009","178,903",169,"5,892",N/A,N/A,"6,596"
2023-24,Iowa,"256,597",N/A,"75,300","56,034","3,849","118,818",38,"1,071",N/A,N/A,"1,487"
2023-24,Kansas,"254,384",N/A,"109,492","29,339",602,"108,596",N/A,343,"1,639",N/A,"4,373"
2023-24,Kentucky,"346,376",N/A,"141,186","78,804","12,533","107,495",N/A,"2,168",N/A,446,"3,744"
2023-24,Louisiana,"319,969",N/A,"177,049","33,952",774,"88,692","1,041","3,699",N/A,66,"14,696"
2023-24,Maine,"102,757",N/A,"38,367","35,907",694,"26,615",43,N/A,N/A,N/A,"1,131"
2023-24,Maryland,"460,583",N/A,"229,788","69,858","1,968","149,383",N/A,"2,698",N/A,N/A,"6,888"
2023-24,Massachusetts,"594,023",N/A,"142,998","343,526",N/A,"98,972","1,977",590,814,N/A,"5,146"
2023-24,Michigan,"608,170",N/A,"328,798","66,918","1,492","190,621",316,"7,991",340,46,"11,648"
2023-24,Minnesota,"534,269",N/A,"142,030","75,871","168,079","145,003",158,27,N/A,771,"2,330"
2023-24,Mississippi,"200,727",N/A,"87,322","20,620",N/A,"86,835",N/A,800,N/A,N/A,"5,150"
2023-24,Missouri,"422,829",N/A,"197,291","150,215","2,925","64,430",101,"2,314",707,23,"4,823"
2023-24,Montana,"59,418",N/A,"43,429","3,581",N/A,"11,888",N/A,22,N/A,N/A,498
2023-24,Nebraska,"178,168",N/A,"66,781","49,769",N/A,"60,370",N/A,"1,248",N/A,N/A,N/A
